"timestamp [UTC]",message,type,innermostMessage
"24/09/2025, 08:09:17.091",,"System.InvalidOperationException","Binding parameters to complex objects (such as 'Object') uses Json.NET serialization. 
1. Bind the parameter type as 'string' instead of 'Object' to get the raw values and avoid JSON deserialization, or
2. Change the queue payload to be valid json. The JSON parser failed: Error parsing boolean value. Path '', line 1, position 1.
"
"24/09/2025, 08:09:17.091","Trigger Details: MessageIdArray: 113f35a4ae324d77b2e5b9b047b52fa3,00d2ff8ae39b4f57886ee41b43b429fc,86dc2fbd083e445eb95d659115a789c3,d36f5d9309b44c59b631848a1b2ddd00,e7195720c6b14a3b8a337986ece11d97, SequenceNumberArray: 12,13,14,15,16, DeliveryCountArray: 3,3,3,3,3, EnqueuedTimeUtcArray: 2025-09-24T08:09:08.5140000+00:00,2025-09-24T08:09:08.5140000+00:00,2025-09-24T08:09:08.5140000+00:00,2025-09-24T08:09:08.5140000+00:00,2025-09-24T08:09:08.5140000+00:00, LockedUntilArray: 2025-09-24T08:10:17.0630000+00:00,2025-09-24T08:10:17.0630000+00:00,2025-09-24T08:10:17.0630000+00:00,2025-09-24T08:10:17.0630000+00:00,2025-09-24T08:10:17.0630000+00:00, SessionId: (null)",,
"24/09/2025, 08:09:17.091","Executing 'Functions.serviceBusTrigger' (Reason='(null)', Id=12dfcd7d-a6b5-4cf5-ac55-69d0d22f6f24)",,
"24/09/2025, 08:09:16.958",,"System.InvalidOperationException","Binding parameters to complex objects (such as 'Object') uses Json.NET serialization. 
1. Bind the parameter type as 'string' instead of 'Object' to get the raw values and avoid JSON deserialization, or
2. Change the queue payload to be valid json. The JSON parser failed: Error parsing boolean value. Path '', line 1, position 1.
"
"24/09/2025, 08:09:16.958","Trigger Details: MessageIdArray: 00d2ff8ae39b4f57886ee41b43b429fc,113f35a4ae324d77b2e5b9b047b52fa3,86dc2fbd083e445eb95d659115a789c3,d36f5d9309b44c59b631848a1b2ddd00,e7195720c6b14a3b8a337986ece11d97, SequenceNumberArray: 13,12,14,15,16, DeliveryCountArray: 2,2,2,2,2, EnqueuedTimeUtcArray: 2025-09-24T08:09:08.5140000+00:00,2025-09-24T08:09:08.5140000+00:00,2025-09-24T08:09:08.5140000+00:00,2025-09-24T08:09:08.5140000+00:00,2025-09-24T08:09:08.5140000+00:00, LockedUntilArray: 2025-09-24T08:10:16.9220000+00:00,2025-09-24T08:10:16.9220000+00:00,2025-09-24T08:10:16.9220000+00:00,2025-09-24T08:10:16.9220000+00:00,2025-09-24T08:10:16.9220000+00:00, SessionId: (null)",,
"24/09/2025, 08:09:16.958","Executing 'Functions.serviceBusTrigger' (Reason='(null)', Id=94088353-adc1-4143-97cf-4bad2a9eb1d1)",,
"24/09/2025, 08:09:16.874",,"System.InvalidOperationException","Binding parameters to complex objects (such as 'Object') uses Json.NET serialization. 
1. Bind the parameter type as 'string' instead of 'Object' to get the raw values and avoid JSON deserialization, or
2. Change the queue payload to be valid json. The JSON parser failed: Error parsing boolean value. Path '', line 1, position 1.
"
"24/09/2025, 08:09:16.872","Trigger Details: MessageIdArray: 113f35a4ae324d77b2e5b9b047b52fa3,00d2ff8ae39b4f57886ee41b43b429fc,86dc2fbd083e445eb95d659115a789c3,d36f5d9309b44c59b631848a1b2ddd00,e7195720c6b14a3b8a337986ece11d97, SequenceNumberArray: 12,13,14,15,16, DeliveryCountArray: 1,1,1,1,1, EnqueuedTimeUtcArray: 2025-09-24T08:09:08.5140000+00:00,2025-09-24T08:09:08.5140000+00:00,2025-09-24T08:09:08.5140000+00:00,2025-09-24T08:09:08.5140000+00:00,2025-09-24T08:09:08.5140000+00:00, LockedUntilArray: 2025-09-24T08:10:16.8130000+00:00,2025-09-24T08:10:16.8130000+00:00,2025-09-24T08:10:16.8130000+00:00,2025-09-24T08:10:16.8130000+00:00,2025-09-24T08:10:16.8130000+00:00, SessionId: (null)",,
"24/09/2025, 08:09:16.871","Executing 'Functions.serviceBusTrigger' (Reason='(null)', Id=436634a6-542c-4b60-bac5-03117796a983)",,
"24/09/2025, 08:09:16.741","Worker process started and initialized.",,
